position,age,value
446.87,10537,2.13
446.92,10538,2.06
446.97,10540,2.19
447.02,10542,2.26
447.07,10544,2.16
447.12,10546,2.21
447.17,10547,2.18
447.22,10549,2.27
447.27,10551,2.29
447.32,10553,2.29
447.37,10554,2.31
447.42,10556,2.29
447.47,10558,2.33
447.52,10560,2.1
447.57,10561,2.17
447.62,10563,2.25
447.67,10565,2.27
447.72,10567,2.06
447.77,10569,2.03
447.82,10570,2.02
447.87,10572,2.1
447.92,10574,2.05
447.97,10576,2.01
448.02,10577,2
448.07,10579,2.06
448.12,10581,2.1
448.17,10583,2.03
448.22,10584,2.07
448.27,10586,2.07
448.32,10588,2.02
448.37,10590,2.08
448.42,10592,2.19
448.47,10593,2.23
448.52,10595,2.25
448.57,10597,2.3
448.62,10599,2.27
448.67,10600,2.25
448.72,10602,2.13
448.77,10604,1.94
448.82,10606,2.04
448.87,10607,1.95
448.92,10609,1.86
448.97,10611,1.82
449.02,10613,1.71
449.07,10615,1.91
449.12,10616,1.89
449.17,10618,1.96
449.22,10620,2.06
449.27,10622,2.02
449.32,10623,1.92
449.37,10625,1.84
449.42,10627,1.88
449.47,10629,1.81
449.52,10631,1.88
449.57,10632,1.86
449.62,10634,1.93
449.67,10636,2
449.72,10638,2.14
449.77,10640,2.18
449.82,10641,2.47
449.87,10643,2.18
449.92,10645,2.2
449.97,10647,2.13
450.02,10649,2.14
450.07,10651,2.06
450.12,10652,2.02
450.17,10654,1.93
450.22,10656,1.73
450.27,10658,2.02
450.32,10660,2.03
450.37,10663,2.04
450.42,10665,2.13
450.47,10667,2.12
450.52,10669,2.12
450.57,10671,2.13
450.62,10674,2.15
450.67,10676,2.19
450.72,10678,2.17
450.77,10680,2.38
450.82,10682,2.28
450.87,10685,2.14
450.92,10687,2.31
450.97,10689,2.25
451.02,10691,2.25
451.07,10694,2.17
451.12,10696,2.22
451.17,10698,2.16
451.22,10700,2.02
451.27,10702,2.12
451.32,10705,1.94
451.37,10707,2.11
451.42,10709,1.85
451.47,10711,1.77
451.52,10713,1.78
451.57,10716,1.72
451.62,10718,1.78
451.77,10725,2.14
451.82,10727,2.15
451.87,10729,2.17
451.92,10731,2.15
451.97,10733,2.24
452.02,10736,2.14
452.07,10738,2.19
452.12,10740,1.86
452.17,10742,2
452.22,10745,1.84
452.27,10747,1.77
452.32,10749,1.77
452.37,10751,2
452.42,10753,1.98
452.47,10756,2.02
452.52,10758,2.05
452.57,10760,1.88
452.62,10762,1.97
452.67,10764,1.77
452.72,10767,1.9
452.77,10769,1.83
452.82,10771,1.64
452.87,10773,1.85
452.92,10776,1.66
452.97,10778,1.76
453.02,10780,1.53
453.07,10782,1.85
453.12,10785,2
453.17,10787,2.19
453.22,10790,2.26
453.27,10792,2.33
453.32,10794,2.37
453.37,10797,2.47
453.42,10799,2.36
453.57,10806,2.22
453.62,10809,2.18
453.67,10811,2.21
453.72,10813,2.23
453.77,10816,2.24
453.82,10818,2.14
453.87,10820,2.18
453.92,10823,2.05
453.97,10825,2.17
454.02,10828,2.19
454.07,10830,2.17
454.12,10832,2.21
454.17,10835,2.23
454.22,10837,2.18
454.27,10840,2.17
454.32,10842,2.22
454.37,10844,2.25
454.42,10847,2.25
454.47,10849,2.12
454.52,10851,2.28
454.57,10854,2.27
454.62,10856,2.29
454.67,10859,2.26
454.72,10861,2.11
454.82,10866,2.11
454.87,10868,2
454.97,10873,2.06
455.02,10875,2.12
455.07,10878,2.09
455.12,10880,1.95
455.17,10882,2.02
455.22,10885,2.18
455.27,10887,2.15
